t_ms,pan_deg,tilt_deg,nod_deg,pan_unit,tilt_unit,nod_unit,led
1833,25.0,-12.0,12.0,597,471,552,96
1867,25.0,-12.0,12.0,597,471,552,95
1900,25.0,-12.0,12.0,597,471,552,95
1933,25.0,-12.0,12.0,597,471,552,95
1967,25.0,-12.0,12.0,597,471,552,94
2000,25.0,-12.0,12.0,597,471,552,94
2033,25.0,-12.0,12.0,597,471,552,93
2067,25.0,-12.0,12.0,597,471,552,92
2100,25.0,-12.0,12.0,597,471,552,91
2133,25.0,-12.0,12.0,597,471,552,90
2167,25.0,-12.0,12.0,597,471,552,89
2200,25.0,-12.0,12.0,597,471,552,87
2233,25.0,-12.0,12.0,597,471,552,86
2267,25.0,-12.0,12.0,597,471,552,85
2300,25.0,-12.0,12.0,597,471,552,83
2333,25.0,-12.0,12.0,597,471,552,82
2367,25.0,-12.0,12.0,597,471,552,80
2400,25.0,-12.0,12.0,597,471,552,78
2433,25.0,-12.0,12.0,597,471,552,76
2467,25.0,-12.0,12.0,597,471,552,74
2500,25.0,-12.0,12.0,597,471,552,73
2533,25.0,-12.0,12.0,597,471,552,71
2567,25.0,-12.0,12.0,597,471,552,69
2600,25.0,-12.0,12.0,597,471,552,67
2633,25.0,-12.0,12.0,597,471,552,65
2667,25.0,-12.0,12.0,597,471,552,63
2700,25.0,-12.0,12.0,597,471,552,61
2733,25.0,-12.0,12.0,597,471,552,59
2767,25.0,-12.0,12.0,597,471,552,56
2800,25.0,-12.0,12.0,597,471,552,54
2833,25.0,-12.0,12.0,597,471,552,52
2867,25.0,-12.0,12.0,597,471,552,51
2900,25.0,-12.0,12.0,597,471,552,49
2933,25.0,-12.0,12.0,597,471,552,47
2967,25.0,-12.0,12.0,597,471,552,45
3000,25.0,-12.0,12.0,597,471,552,43
3033,25.0,-12.0,12.0,597,471,552,41
3067,25.0,-12.0,12.0,597,471,552,40
3100,25.0,-12.0,12.0,597,471,552,38
3133,25.0,-12.0,12.0,597,471,552,37
3167,25.0,-12.0,12.0,597,471,552,35
3200,25.0,-12.0,12.0,597,471,552,34
3233,25.0,-12.0,12.0,597,471,552,32
3267,25.0,-12.0,12.0,597,471,552,31
3300,25.0,-12.0,12.0,597,471,552,30
3333,25.0,-12.0,12.0,597,471,552,29
3367,25.0,-12.0,12.0,597,471,552,28
3400,25.0,-12.0,12.0,597,471,552,28
3433,25.0,-12.0,12.0,597,471,552,27
3467,25.0,-12.0,12.0,597,471,552,26
3500,25.0,-12.0,12.0,597,471,552,26
3533,25.0,-12.0,12.0,597,471,552,26
3567,25.0,-12.0,12.0,597,471,552,26
3600,25.0,-12.0,12.0,597,471,552,26
3633,25.0,-12.0,12.0,597,471,552,26
3667,25.0,-12.0,12.0,597,471,552,26
3700,25.0,-12.0,12.0,597,471,552,26
3733,25.0,-12.0,12.0,597,471,552,26
3767,25.0,-12.0,12.0,597,471,552,27
3800,25.0,-12.0,12.0,597,471,552,28
3833,25.0,-12.0,12.0,597,471,552,28
3867,25.0,-12.0,12.0,597,471,552,29
3900,25.0,-12.0,12.0,597,471,552,30
3933,25.0,-12.0,12.0,597,471,552,31
3967,25.0,-12.0,12.0,597,471,552,32
4000,25.0,-12.0,12.0,597,471,552,34
4033,25.0,-12.0,12.0,597,471,552,35
4067,25.0,-12.0,12.0,597,471,552,37
4100,25.0,-12.0,12.0,597,471,552,38
4133,25.0,-12.0,12.0,597,471,552,40
4167,25.0,-12.0,12.0,597,471,552,41
