t_ms,pan_deg,tilt_deg,nod_deg,pan_unit,tilt_unit,nod_unit,led
4400,25.0,-12.0,15.0,597,471,563,54
4433,25.0,-12.0,15.0,597,471,563,56
4467,25.0,-12.0,15.0,597,471,563,59
4500,25.0,-12.0,15.0,597,471,563,61
4533,25.0,-12.0,15.0,597,471,563,63
4567,25.0,-12.0,15.0,597,471,563,65
4600,25.0,-12.0,15.0,597,471,563,67
4633,25.0,-12.0,15.0,597,471,563,69
4667,25.0,-12.0,15.0,597,471,563,71
4700,25.0,-12.0,15.0,597,471,563,73
4733,25.0,-12.0,15.0,597,471,563,74
4767,25.0,-12.0,15.0,597,471,563,76
4800,25.0,-12.0,15.0,597,471,563,78
4833,25.0,-12.0,15.0,597,471,563,80
4867,25.0,-12.0,15.0,597,471,563,82
4900,25.0,-12.0,15.0,597,471,563,83
4933,25.0,-12.0,15.0,597,471,563,85
4967,25.0,-12.0,15.0,597,471,563,86
5000,25.0,-12.0,15.0,597,471,563,87
5033,25.0,-12.0,15.0,597,471,563,89
5067,25.0,-12.0,15.0,597,471,563,90
5100,25.0,-12.0,15.0,597,471,563,91
5133,25.0,-12.0,15.0,597,471,563,92
5167,25.0,-12.0,15.0,597,471,563,93
5200,25.0,-12.0,15.0,597,471,563,94
5233,25.0,-12.0,15.0,597,471,563,94
5267,25.0,-12.0,15.0,597,471,563,95
5300,25.0,-12.0,15.0,597,471,563,95
5333,25.0,-12.0,15.0,597,471,563,95
5367,25.0,-12.0,15.0,597,471,563,96
5400,25.0,-12.0,15.0,597,471,563,96
5433,25.0,-12.0,15.0,597,471,563,96
5467,25.0,-12.0,15.0,597,471,563,95
5500,25.0,-12.0,15.0,597,471,563,95
5533,25.0,-12.0,15.0,597,471,563,95
5567,25.0,-12.0,15.0,597,471,563,94
5600,25.0,-12.0,15.0,597,471,563,94
5633,25.0,-12.0,15.0,597,471,563,93
5667,25.0,-12.0,15.0,597,471,563,92
5700,25.0,-12.0,15.0,597,471,563,91
5733,25.0,-12.0,15.0,597,471,563,90
5767,25.0,-12.0,15.0,597,471,563,89
5800,25.0,-12.0,15.0,597,471,563,87
5833,25.0,-12.0,15.0,597,471,563,86
5867,25.0,-12.0,15.0,597,471,563,85
5900,25.0,-12.0,15.0,597,471,563,83
5933,25.0,-12.0,15.0,597,471,563,82
5967,25.0,-12.0,15.0,597,471,563,80
6000,25.0,-12.0,15.0,597,471,563,78
6033,25.0,-12.0,15.0,597,471,563,76
6067,25.0,-12.0,15.0,597,471,563,74
6100,25.0,-12.0,15.0,597,471,563,73
6133,25.0,-12.0,15.0,597,471,563,71
6167,25.0,-12.0,15.0,597,471,563,69
6200,25.0,-12.0,15.0,597,471,563,67
6233,25.0,-12.0,15.0,597,471,563,65
6267,25.0,-12.0,15.0,597,471,563,63
6300,25.0,-12.0,15.0,597,471,563,61
6333,25.0,-12.0,15.0,597,471,563,59
6367,25.0,-12.0,15.0,597,471,563,56
6400,25.0,-12.0,15.0,597,471,563,54
6433,25.0,-12.0,15.0,597,471,563,52
6467,25.0,-12.0,15.0,597,471,563,51
6500,25.0,-12.0,15.0,597,471,563,49
6533,25.0,-12.0,15.0,597,471,563,47
6567,25.0,-12.0,15.0,597,471,563,45
6600,25.0,-12.0,15.0,597,471,563,43
6633,25.0,-12.0,15.0,597,471,563,41
6667,25.0,-12.0,15.0,597,471,563,40
6700,25.0,-12.0,15.0,597,471,563,38
6733,25.0,-12.0,15.0,597,471,563,37
6767,25.0,-12.0,15.0,597,471,563,35
6800,25.0,-12.0,15.0,597,471,563,34
6833,25.0,-12.0,15.0,597,471,563,32
6867,25.0,-12.0,15.0,597,471,563,31
6900,25.0,-12.0,15.0,597,471,563,30
6933,25.0,-12.0,15.0,597,471,563,29
6967,25.0,-12.0,15.0,597,471,563,28
7000,25.0,-12.0,15.0,597,471,563,28
7033,25.0,-12.0,15.0,597,471,563,27
7067,25.0,-12.0,15.0,597,471,563,26
7100,25.0,-12.0,15.0,597,471,563,26
7133,25.0,-12.0,15.0,597,471,563,26
7167,25.0,-12.0,15.0,597,471,563,26
7200,25.0,-12.0,15.0,597,471,563,26
