t_ms,pan_deg,tilt_deg,nod_deg,pan_unit,tilt_unit,nod_unit,led
4233,0.0,-8.0,-42.0,512,484,368,18
4267,0.0,-8.0,-42.0,512,484,368,18
4300,0.0,-8.0,-42.0,512,484,368,17
4333,0.0,-8.0,-42.0,512,484,368,16
4367,0.0,-8.0,-42.0,512,484,368,16
4400,0.0,-8.0,-42.0,512,484,368,15
4433,0.0,-8.0,-42.0,512,484,368,15
4467,0.0,-8.0,-42.0,512,484,368,14
4500,0.0,-8.0,-42.0,512,484,368,13
4533,0.0,-8.0,-42.0,512,484,368,13
4567,0.0,-8.0,-42.0,512,484,368,13
4600,0.0,-8.0,-42.0,512,484,368,12
4633,0.0,-8.0,-42.0,512,484,368,12
4667,0.0,-8.0,-42.0,512,484,368,11
4700,0.0,-8.0,-42.0,512,484,368,11
4733,0.0,-8.0,-42.0,512,484,368,11
4767,0.0,-8.0,-42.0,512,484,368,10
4800,0.0,-8.0,-42.0,512,484,368,10
4833,0.0,-8.0,-42.0,512,484,368,10
4867,0.0,-8.0,-42.0,512,484,368,10
4900,0.0,-8.0,-42.0,512,484,368,10
4933,0.0,-8.0,-42.0,512,484,368,10
4967,0.0,-8.0,-42.0,512,484,368,10
5000,0.0,-8.0,-42.0,512,484,368,10
5033,0.0,-8.0,-42.0,512,484,368,10
5067,0.0,-8.0,-42.0,512,484,368,10
5100,0.0,-8.0,-42.0,512,484,368,10
5133,0.0,-8.0,-42.0,512,484,368,11
5167,0.0,-8.0,-42.0,512,484,368,11
5200,0.0,-8.0,-42.0,512,484,368,12
5233,0.0,-8.0,-42.0,512,484,368,13
5267,0.0,-8.0,-42.0,512,484,368,14
5300,0.0,-8.0,-42.0,512,484,368,15
5333,0.0,-8.0,-42.0,512,484,368,16
5367,0.0,-8.0,-42.0,512,484,368,17
5400,0.0,-8.0,-42.0,512,484,368,19
5433,0.0,-8.0,-42.0,512,484,368,20
5467,0.0,-8.0,-42.0,512,484,368,22
5500,0.0,-8.0,-42.0,512,484,368,23
5533,0.0,-8.0,-42.0,512,484,368,25
5567,0.0,-8.0,-42.0,512,484,368,27
5600,0.0,-8.0,-42.0,512,484,368,29
5633,0.0,-8.0,-42.0,512,484,368,31
5667,0.0,-8.0,-42.0,512,484,368,33
5700,0.0,-8.0,-42.0,512,484,368,35
5733,0.0,-8.0,-42.0,512,484,368,37
5767,0.0,-8.0,-42.0,512,484,368,39
5800,0.0,-8.0,-42.0,512,484,368,41
5833,0.0,-8.0,-42.0,512,484,368,44
5867,0.0,-8.0,-42.0,512,484,368,46
5900,0.0,-8.0,-42.0,512,484,368,48
5933,0.0,-8.0,-42.0,512,484,368,50
5967,0.0,-8.0,-42.0,512,484,368,52
6000,0.0,-8.0,-42.0,512,484,368,54
6033,0.0,-8.0,-42.0,512,484,368,56
6067,0.0,-8.0,-42.0,512,484,368,58
6100,0.0,-8.0,-42.0,512,484,368,60
6133,0.0,-8.0,-42.0,512,484,368,62
6167,0.0,-8.0,-42.0,512,484,368,64
6200,0.0,-8.0,-42.0,512,484,368,66
6233,0.0,-8.0,-42.0,512,484,368,67
6267,0.0,-8.0,-42.0,512,484,368,69
6300,0.0,-8.0,-42.0,512,484,368,71
6333,0.0,-8.0,-42.0,512,484,368,72
6367,0.0,-8.0,-42.0,512,484,368,73
6400,0.0,-8.0,-42.0,512,484,368,74
6433,0.0,-8.0,-42.0,512,484,368,76
6467,0.0,-8.0,-42.0,512,484,368,76
6500,0.0,-8.0,-42.0,512,484,368,77
6533,0.0,-8.0,-42.0,512,484,368,78
6567,0.0,-8.0,-42.0,512,484,368,79
6600,0.0,-8.0,-42.0,512,484,368,79
6633,0.0,-8.0,-42.0,512,484,368,79
6667,0.0,-8.0,-42.0,512,484,368,80
6700,0.0,-8.0,-42.0,512,484,368,80
6733,0.0,-8.0,-42.0,512,484,368,80
6767,0.0,-8.0,-42.0,512,484,368,80
6800,0.0,-8.0,-42.0,512,484,368,80
6833,0.0,-8.0,-42.0,512,484,368,79
6867,0.0,-8.0,-42.0,512,484,368,79
6900,0.0,-8.0,-42.0,512,484,368,79
6933,0.0,-8.0,-42.0,512,484,368,79
6967,0.0,-8.0,-42.0,512,484,368,79
7000,0.0,-8.0,-42.0,512,484,368,78
